"Date","Tmax","Tmin","Sun","Rain","TmaxAvg","RainyDays"
08/02/87,32.2,21.1,193,0,32.78,3
08/03/87,35.6,23.3,322,0,32.44,3
08/04/87,34.4,23.9,276,1,33.44,2
08/05/87,35.6,23.9,460,0,33.98,3
08/06/87,31.7,22.8,372,1,34.22,2
08/07/87,27.8,21.7,185,1,33.9,2
08/08/87,32.8,19.4,436,0,33.02,3
08/09/87,33.3,23.3,130,0,32.46,3
08/10/87,35,23.9,431,1,32.24,2
08/11/87,30,21.7,108,1,32.12,3
08/12/87,30.6,17.8,552,0,31.78,3
08/13/87,29.4,17.8,794,0,32.34,2
08/14/87,30.6,15.6,259,1,31.66,2
08/15/87,24.4,21.7,0,1,31.12,3
08/16/87,30,21.1,200,1,29,3
08/17/87,33.9,21.1,733,0,29,3
08/18/87,35,22.2,627,0,29.66,3
08/19/87,32.8,22.2,201,1,30.78,3
08/20/87,32.8,21.1,476,0,31.22,3
08/21/87,29.4,21.1,85,1,32.9,2
08/22/87,32.8,20.6,360,1,32.78,2
08/23/87,30.6,21.7,459,1,32.56,3
08/24/87,26.7,17.2,330,0,31.68,4
08/25/87,26.7,17.2,158,1,30.46,3
08/26/87,32.2,19.4,256,0,29.24,4
08/27/87,34.4,23.9,220,0,29.8,3
08/28/87,35.6,23.3,531,1,30.12,2
08/29/87,31.7,21.7,290,1,31.12,2
08/30/87,24.4,20.6,4,0,32.12,3
08/31/87,25.6,18.9,0,1,31.66,2
06/06/88,32.8,11.7,866,0,25.34,2
06/07/88,34.4,17.2,837,0,25.12,2
06/08/88,33.9,17.8,791,0,26,1
06/09/88,25,12.2,67,1,29.66,0
06/10/88,22.2,11.7,398,0,30.22,1
06/11/88,23.9,10.6,825,0,29.66,1
06/12/88,27.8,9.4,807,0,27.88,1
06/13/88,30,13.3,874,0,26.56,1
06/14/88,30.6,15,875,0,25.78,1
06/15/88,30.6,16.1,855,0,26.9,0
06/16/88,31.7,16.1,786,0,28.58,0
06/17/88,31.1,18.9,508,1,30.14,0
06/18/88,30.6,18.3,570,1,30.8,1
06/19/88,31.1,20.6,530,1,30.92,2
06/20/88,32.8,20,626,1,31.02,3
06/21/88,33.9,18.9,656,0,31.46,4
06/22/88,35.6,21.7,628,0,31.9,4
06/23/88,36.7,22.2,646,1,32.8,3
06/24/88,26.7,20,0,1,34.02,3
06/25/88,27.8,16.7,409,0,33.14,3
06/26/88,35.6,20,401,1,32.14,2
